input_string,found,official_name,city,country,formatted_address,rating,website,error
Audrey Cafe Thonglor Soi 11,True,AUDREY CAFE & BISTRO,,Thailand,"Soi Thong Lo 11, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",4.2,http://www.audreygroup.com/,
Attico Cucina Italiana Radisson Blu Plaza Bangkok,True,Attico Cucina Italiana at Radisson Blu Plaza Bangkok,,Thailand,"489 Sukhumvit Rd, Khwaeng Khlong Toei Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",4.5,https://www.radissonhotels.com/en-us/hotels/radisson-blu-bangkok/restaurant-bar,
The Living Room at Sheraton Grande Sukhumvit A Luxury Collection Hotel,True,"Sheraton Grande Sukhumvit, a Luxury Collection Hotel, Bangkok",,Thailand,"250 Sukhumvit Rd, Khwaeng Khlong Toei, Khet Khlong Toei, Krung Thep Maha Nakhon 10110, Thailand",4.7,https://www.marriott.com/en-us/hotels/bkklc-sheraton-grande-sukhumvit-a-luxury-collection-hotel-bangkok/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,
Rain Tree Cafe at The Athenee Hotel,True,Rain Tree Café,,Thailand,"61 Thanon Witthayu, Khwaeng Lumphini, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",4.4,https://www.raintreecafebangkok.com/,
Skyline at Avani+ Riverside Bangkok Hotel,True,Skyline,,Thailand,"F11, AVANI RIVERSIDE HOTEL, 257 ถ. เจริญนคร Samrae, เขตธนบุรี กรุงเทพมหานคร 10600, Thailand",4.2,https://www.avanihotels.com/en/riverside-bangkok/restaurants/skyline,
Vertigo Rooftop Banyan Tree,True,Vertigo & Moon Bar Rooftop,,Thailand,"21/100 S Sathon Rd, Khwaeng Thung Maha Mek, Khet Sathon, Krung Thep Maha Nakhon 10120, Thailand",4.3,https://www.banyantree.com/thailand/bangkok/dining/vertigo,
Orchid Cafe at Sheraton Grande Sukhumvit A Luxury Collection Hotel,True,Orchid Café,,Thailand,"250 Sukhumvit Rd, Khwaeng Khlong Toei, Khet Khlong Toei, Krung Thep Maha Nakhon 10110, Thailand",4.4,http://www.orchidcafebangkok.com/,
Audrey Cafe EmQuartier,True,Audrey,,Thailand,"1357 Soi Sukhumvit 35, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",4.1,http://www.audreygroup.com/,
Audrey Cafe Central Ladprao,True,Audrey Cafe,,Thailand,"1693 ชั้น 4 เซ็นทรัลลาดพร้าว โซนร้านอาหาร Phahon Yothin Road, Khwaeng Chatuchak, Khet Chatuchak, Krung Thep Maha Nakhon 10900, Thailand",4.2,http://www.audreygroup.com/,
Up & Above Restaurant and Bar (Rooftop) at The Okura Prestige Bangkok,True,Up & Above Restaurant and Bar,,Thailand,"57 Thanon Witthayu, Khwaeng Lumphini, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",4.4,https://www.okurabangkok.com/dining/up-above-restaurant-and-bar,
Bai Yun Banyan Tree Bangkok,True,Bai Yun Chinese Restaurant,,Thailand,"59th floor Banyan Tree Bangkok 21/100 S Sathon Rd, Khwaeng Thung Maha Mek, Khet Sathon, Krung Thep Maha Nakhon 10120, Thailand",4.5,https://www.banyantree.com/thailand/bangkok/dining/bai-yun,
Broccoli Revolution Sukhumvit 49,True,Broccoli Revolution Sukhumvit 49,,Thailand,"899 Sukhumvit Rd, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",4.4,http://www.broccolirevolution.com/,
Mojjo Rooftop Lounge & Bar Skyview Hotel,True,Mojjo Rooftop Lounge Bar,,Thailand,"32nd Floor SKYVIEW Hotel Bangkok 12 Soi Sukhumvit 24, Khwaeng Khlong Tan, Khet Khlong Toei, Krung Thep Maha Nakhon 10110, Thailand",4.5,https://skyviewhotel.com/bangkok/dining/mojjo-rooftop-lounge-bar/,
Boon Tong Kee Seacon Square,True,Boon Tong Kee (บุญตงกี่) ซีคอนสแควร์ ศรีนครินทร์,,Thailand,"55 ถนน ศรีนครินทร์ Khwaeng Nong Bon, Khet Prawet, Krung Thep Maha Nakhon 10250, Thailand",4.7,http://www.boontongkeethailand.com/home/out-outlets/btk-seacon-square-_04/,
Boon Tong Kee Central Pinklao,True,Boon Tong Kee (Central Pinklao),,Thailand,"ชั้น5 ห้อง516-517 Pinklao หมายเลขห้อง Central Plaza, 7/222 Borommaratchachonnani Rd, Khwaeng Arun Amarin, Khet Bangkok Noi, Krung Thep Maha Nakhon 10700, Thailand",4.7,http://www.boontongkeethailand.com/,
Le Boeuf,True,Boeuf,Singapore,Singapore,"159 Telok Ayer St, Singapore 068614",4.3,http://www.boeuf.sg/,
Vertigo TOO Banyan Tree,True,Vertigo TOO Hidden Sky Bar & Restaurant,,Thailand,"60th floor, Banyan Tree Bangkok, 21/100 S Sathon Rd, Khwaeng Thung Maha Mek, Khet Sathon, Krung Thep Maha Nakhon 10120, Thailand",4.6,https://www.banyantree.com/thailand/bangkok/dining/vertigo-too,
Boon Tong Kee Sukhumvit 49,True,Boon Tong Kee Sukhumvit 49,,Thailand,"46, 10 Sukhumvit 49, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",4.4,http://www.boontongkeethailand.com/,
Cantina Wine Bar & Italian Kitchen,True,Cantina Italian Kitchen (Ari),,Thailand,"142 Rama VI Soi 30, Khwaeng Samsen Nai, Khet Phaya Thai, Krung Thep Maha Nakhon 10400, Thailand",4.5,http://www.cantinabkk.com/,
Miche Boulangerie and Coffee Bar,True,Miche Boulangerie & Coffee Bar,,Thailand,"31 Sukhumvit 26, Klongton, 31 สุขุมวิท 26 แขวงคลองตัน เขตคลองเตย กรุงเทพมหานคร 10110, Thailand",4.4,,
THINK Cafe @ The BLOC,True,THE BLOC,,Thailand,"THE BLOC BKK 94 Ratchaphruk Bangramard Khet Taling Chan, Krung Thep Maha Nakhon 10170, Thailand",4.2,http://www.theblocbkk.com/,
Barsu at Sheraton Grande Sukhumvit,True,BARSU,,Thailand,"250 Sukhumvit Rd, Khwaeng Khlong Toei, Khet Khlong Toei, Krung Thep Maha Nakhon 10110, Thailand",4.5,https://www.facebook.com/BARSUSheraton,
The Eatery at Four Points by Sheraton Bangkok Sukhumvit 15,True,The Local Table,,Thailand,"Sukhumvit 15, Khwaeng Khlong Toei Nuea, Khet Khlong Toei, Krung Thep Maha Nakhon 10110, Thailand",4.4,https://www.paradoxhotels.com/bangkok,
Red Oven SO/ Bangkok,True,Red Oven,,Thailand,"2 N Sathon Rd, Si Lom, Khet Bang Rak, Krung Thep Maha Nakhon 10500, Thailand",4.2,https://www.so-bangkok.com/dining/red-oven/?utm_source=google+Maps&utm_medium=seo+maps&utm_campaign=seo+maps,
Seafresh Riverside Buffet,True,Seafresh Riverside Buffet,,Thailand,"732 Thanon Rama III, Khwaeng Bang Phong Phang, Khet Yan Nawa, Krung Thep Maha Nakhon 10120, Thailand",4.4,https://facebook.com/Seafresh.buffet,
PAUL Bakery CentralWorld,True,PAUL @ centralwOrld,,Thailand,"อาคาร Groove ชั้น 2 208 Rama I Rd, Khwaeng Pathum Wan, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",4.4,https://m.facebook.com/paul1889.thailand/,
"Bistro M at Marriott Executive Apartments Sukhumvit Park, Bangkok",True,Bistro M,,Thailand,"The Ground Floor Marriott Executive Apartments, 90 Sukhumvit Park, Khwaeng Khlong Tan Nuea, Khet Khlong Toei, Krung Thep Maha Nakhon 10110, Thailand",4.4,https://www.marriott.com/en-us/dining/restaurant-bar/bkksp-sukhumvit-park-bangkok-marriott-executive-apartments/190767-bistro-m.mi,
Romsai Banyan Tree Hotel,True,Romsai All-day International Restaurant,,Thailand,"B Floor, Banyan Tree Bangkok, 21/100 S Sathon Rd, Khwaeng Thung Maha Mek, Khet Sathon, Krung Thep Maha Nakhon 10120, Thailand",4.6,https://www.banyantree.com/thailand/bangkok/dining/romsai,
Brasserie 9,True,Brasserie 9,,Thailand,"27 Soi Sathon 6, Si Lom, Khet Bang Rak, Krung Thep Maha Nakhon 10500, Thailand",4.6,http://www.brasserie9.com/,
The Berkeley Dining Room,True,The Berkeley Dining Room,,Thailand,"ประตูน้ำเซ็นเตอร์ Khwaeng Makkasan, Khet Ratchathewi, Krung Thep Maha Nakhon 10400, Thailand",4.5,https://berkeleypratunam.com/,
Kisso at The Westin Grande Sukhumvit,True,Kisso Japanese Restaurant,,Thailand,"259 Soi Sukhumvit 19, Khwaeng Khlong Toei Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",4.6,https://www.kissojapaneserestaurant.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing,
Neta Grill Seacon Square Srinagarindra,True,Neta Grill Seacon Square 4th Fl.,,Thailand,"MJVX+J94 อาคารศูนย์การค้าซีคอนสแควร์ Khwaeng Nong Bon, Khet Prawet, Krung Thep Maha Nakhon 10250, Thailand",4.4,http://www.facebook.com/netagrill,
Boon Tong Kee The Up Rama 3,True,Boon Tong Kee,,Thailand,"54/5 Thanon Naradhiwat Rajanagarindra, Khwaeng Chong Nonsi, Khet Yan Nawa, Krung Thep Maha Nakhon 10120, Thailand",4.6,http://www.boontongkeethailand.com/,
TORA Yakiniku x Café The City Connect ,True,Tora Yakiniku X Cafe,,Thailand,"1448/19 อาคารคริสตัลดีไซน์ เซ็นเตอร์ CDC Lat Phrao 87, Khwaeng Khlong Chan, Khet Bang Kapi, Krung Thep Maha Nakhon 10240, Thailand",4.4,https://tora.foodie-delivery.com/#/home,
The Mulberry Chinese Cuisine The Berkeley Hotel,True,The Mulberry Chinese Cuisine,,Thailand,"559 Ratchaprarop Rd, Khwaeng Makkasan, Khet Ratchathewi, Krung Thep Maha Nakhon 10400, Thailand",4.3,,
Crave (Aloft Bangkok - Sukhumvit 11),True,Crave restaurant,,Thailand,"35 Soi Sukhumvit 11, Klongtoey-nua, Watthana, Krung Thep Maha Nakhon 10110, Thailand",4.4,https://th.aloftbangkoksukhumvit11.com/,
Amaya Food Gallery Amari Bangkok,True,Amaya Food Gallery at Amari Bangkok,,Thailand,"847 Petchburi Road, Phaya Thai, Ratchathewi, Bangkok 10400, Thailand",4.4,https://www.amari.com/bangkok/dine/amaya-food-gallery,
Krua Nai Noi Seafood,True,Nai Noi Seafood Restaurant,Amphoe Mueang Nonthaburi,Thailand,"Soi Prachachuennonthaburi 8/1, Tambon Tha Sai, Amphoe Mueang Nonthaburi, Chang Wat Nonthaburi 11000, Thailand",4.4,https://web.facebook.com/krua9noy/?modal=admin_todo_tour,
Prince Cafe at Prince Palace Hotel Bangkok,True,Prince Cafe International Cuisine @ Prince Palace Hotel,,Thailand,"488 โรงแรมปรินซ์พาเลซ 488/800 คลองมหานาค 800 Thanon Damrong Rak, Khwaeng Khlong Maha Nak, Khet Pom Prap Sattru Phai, Krung Thep Maha Nakhon 10100, Thailand",4.1,https://www.princepalace.co.th/,
China Palace at Prince Palace Hotel Bangkok,True,China Palace - Silom (ภัตตาคารไชน่าพาเลซ - สีลม),,Thailand,"172/1 Soi Naradhiwas Rajanagarindra 3, Si Lom, Khet Bang Rak, Krung Thep Maha Nakhon 10500, Thailand",4.3,https://www.facebook.com/China-Palace-Restaurant-114028661293860,
Cafe Claire by Oriental Residence,True,Café Claire,,Thailand,"110 Thanon Witthayu, Khwaeng Lumphini, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",4.4,,
Neta Grill Central Rama 2,True,Neta Grill,,Thailand,"อาคารศูนย์การค้าเซ็นทรัลพลาซา พระราม 2 ชั้นที่ 4 ห้องเลขที่ 421 1 Rama II Rd, Khwaeng Samae Dam, Khet Bang Khun Thian, Krung Thep Maha Nakhon 10150, Thailand",4.3,http://www.facebook.com/netagrill,
Greenhouse Restaurant Avani Sukhumvit Bangkok,True,Greenhouse Restaurant & Terrace,,Thailand,"2089 Sukhumvit Rd, Khwaeng Phra Khanong Nuea, Watthana, Krung Thep Maha Nakhon 10260, Thailand",4.2,https://www.avanihotels.com/en/sukhumvit-bangkok/restaurants/greenhouse-restaurant,
Ruen Petch Suki Nonthaburi Bypass Road,True,Ruen Petch Suki Nonthaburi,Amphoe Mueang Nonthaburi,Thailand,"5, 60 หมู่ที่ 1 Liang Muang Nonthaburi Rd, Tambon Bang Kraso, Amphoe Mueang Nonthaburi, Chang Wat Nonthaburi 11000, Thailand",4.5,https://m.me/ruenpetch?ref=w21587910,
The Emperor Montien Riverside Hotel,True,The Emperor,,Thailand,"372, โรงแรมมณเฑียร ริเวอร์ไซด์ ชั้น 4 Thanon Rama III, บางโคล่ Khet Bang Kho Laem, Krung Thep Maha Nakhon 10120, Thailand",4.0,http://www.montienhotel-riverside.com/,
KBBQ Sukhumvit ,True,KBBQ Sukhumvit,,Thailand,"เรสซิเดนเซส ชั้น 2 ถ. 12/497 อาคาร 15 สุขุมวิท Soi Sukhumvit 13, Khwaeng Khlong Toei Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",4.7,https://www.facebook.com/KBBQSUKHUMVIT,
Boon Tong Kee Central Eastville,True,Boon Tong Kee Central Eastville,,Thailand,"69, 69/1-2 Pradit Manutham Rd, Khwaeng Lat Phrao, Khet Lat Phrao, Krung Thep Maha Nakhon 10230, Thailand",4.6,https://www.wongnai.com/restaurants/216902jl-boon-tong-kee-central-festival-eastville,
Brewski Rooftop Sports Bar Radisson Blu Plaza Bangkok (Indoor),True,Brewski Rooftop Beer Bar at Radisson Blu Plaza Bangkok,,Thailand,"Radisson Blu Plaza 489 Sukhumvit Rd, Khwaeng Khlong Toei Nuea, Khet Khlong Toei, Krung Thep Maha Nakhon 10110, Thailand",4.3,https://www.radissonhotels.com/en-us/hotels/radisson-blu-bangkok/restaurant-bar/brewski#,
27 Bites Brasserie at Radisson Blu Plaza Bangkok,True,Twenty-Seven Bites Brasserie at Radisson Blu Plaza Bangkok,,Thailand,"Radisson Blu Plaza Bangkok, 489, ถ. สุขุมวิท แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110, Thailand",4.3,https://www.facebook.com/RadissonBluPlazaBangkok,
Jaw Nuea Chokchai 4,False,,,,,,,No results found
Yao Rooftop Bar Bangkok Marriott Hotel The Surawongse,True,Yào Rooftop Bar,,Thailand,"Rooftop of Bangkok Marriott Hotel The Surawongse 262 Surawong Rd, 262 ถ. สุรวงศ์ แขวงสี่พระยา เขตบางรัก กรุงเทพมหานคร 10500, Thailand",4.6,https://www.yaobangkok.com/,
The Kitchen Table (Buffet) at W Bangkok Hotel ,True,The Kitchen Table,,Thailand,"106, 108 N Sathon Rd, Si Lom, Khet Bang Rak, Krung Thep Maha Nakhon 10500, Thailand",4.5,,
Assembly Point Thonglor @ One One Hotel Bkk,True,Assembly Point Thonglor,,Thailand,"289 1 Soi Thong Lo, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",4.7,https://www.facebook.com/AssemblypointTH/,
Blue Sky Rooftop Bar Centara Grand at Central Plaza Ladprao,True,Blue Sky Rooftop Restaurant & Bar at Centara Grand at Central Plaza Ladprao Bangkok,,Thailand,"1695 Centara Grand at Central plaza, Ladprao, 24 Fl, แขวงจตุจักร เขตจตุจักร กรุงเทพมหานคร 10900, Thailand",4.9,http://www.centarahotelsresorts.com/bluesky/,
Mexicano Restaurante Autentico,True,Mexicano Restaurante Autentico,,Thailand,"19 Soi Sukhumvit 18, Khwaeng Khlong Toei, Khet Khlong Toei, Krung Thep Maha Nakhon 10110, Thailand",4.7,http://www.mexicanobkk.com/,
Saffron Cruise by Banyan Tree,True,Saffron Cruise by Banyan Tree Bangkok,,Thailand,"299 Soi Charoen Nakhon 5, Khwaeng Khlong Ton Sai, Khet Khlong San, Krung Thep Maha Nakhon 10600, Thailand",4.8,https://www.banyantree.com/en/thailand/bangkok/dining/saffron-cruise-by-banyan-tree,
Earw Thai Suki Boran The Crystal SB Ratchapruek,True,เอี่ยวไถ่ สุกี้โบราณ เดอะ คริสตัล เอสบี ราชพฤกษ์,ตำบล บางขนุน,Thailand,"555/9 ห้องเลขที่ ซี220 ชั้นที่ 2, ถ. ราชพฤกษ์ ตำบล บางขนุน อำเภอบางกรวย นนทบุรี 11130, Thailand",3.9,https://m.facebook.com/earwthaisukiboraan/,
Man Ho Chinese Restaurant at JW Marriott Hotel,True,Man Ho Chinese Restaurant,,Hong Kong,"Hong Kong, 金鐘金鐘道88號太古廣場香港JW萬豪酒店3樓",4.4,https://www.marriott.com/en-us/dining/restaurant-bar/hkgdt-jw-marriott-hotel-hong-kong/5308052-man-ho-chinese-restaurant.mi,
Red Sky Rooftop & Bar 56th Floor,True,Red Sky,,Thailand,"999, 99 Rama I Rd, Khwaeng Pathum Wan, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",4.5,http://www.bangkokredsky.com/,
You&I Premium Suki Buffet Mega Bangna,True,You&I Premium Suki Buffet (Mega Bangna),Tambon Bang Kaeo,Thailand,"ชั้น 2, โซนข้างโรงหนัง 39 Thanon Bang Na-Trat Frontage, Tambon Bang Kaeo, Amphoe Bang Phli, Chang Wat Samut Prakan 10540, Thailand",4.5,http://www.facebook.com/youandisuki,
You&I Premium Suki Buffet Central Westgate,True,You&I Premium Suki Buffet Central Westgate,Tambon Sao Thong,Thailand,"เซนทรัลเวสเกรด หมู่6 199,199/1ชั้น 3 เลขที่ 199 โซนข้าง Food partio ฝั่งลานจอดสีม่วง 199 รัตนาธิเบศร์ ซอย 1/2 Tambon Sao Thong Amphoe Bang Yai, Chang Wat Nonthaburi 11010, Thailand",4.7,https://www.facebook.com/youandisuki,
You&I Premium Suki Buffet Central Eastville,True,You & I Premium Suki Buffet Central Festival Eastville,,Thailand,"ชั้น 1, เลขที่ 69, 69/1, โซน บาร์ แอนด์ บริสโทร, 69 ซอย 2 แขวงลาดพร้าว ลาดพร้าว กรุงเทพมหานคร 10230, Thailand",4.9,http://www.youandisuki.co.th/,
You&I Premium Suki Buffet Zpell Future Park Rangsit ,True,You&I Premium Suki Buffet - ZPELL,อำเภอธัญบุรี,Thailand,"ชั้น 2 โซน Zeatery, ใกล้ทางเข้า, Robinson เลขที่ 94 ศูนย์การค้าฟิวเจอร์พาร์ค รังสิต, ถ. พหลโยธิน ตำบล ประชาธิปัตย์ อำเภอธัญบุรี ปทุมธานี 12130, Thailand",4.7,https://www.facebook.com/youandisuki/,
Earw Thai Suki Boran Central Plaza Rama 3,True,ร้านเอี่ยวไถ่ สุกี้โบราณ พระราม 3,,Thailand,"79 ชั้นที่ 5 ห้อง 512-513 ศูนย์การค้าเซ็นทรัล Thanon Rama III, Khwaeng Chong Nonsi, Khet Yan Nawa, Krung Thep Maha Nakhon 10120, Thailand",4.2,,
Earw Thai Suki Boran Central Plaza WestGate,True,Earwthai Central Westgate,Tambon Sao Thong Hin,Thailand,"เซ็นทรัลเวสเกต ชั้น3 Tambon Sao Thong Hin, Amphoe Bang Yai, Chang Wat Nonthaburi 11140, Thailand",4.5,http://earwthai.co.th/,
Earw Thai Suki Boran Seacon Square Srinagarindra,True,เอี่ยวไถ่ ซีคอนสแควร์ ศรีนครินทร์,,Thailand,"4 0 1 0 - 1 1 ชั้ น ที่ 4 Khwaeng Nong Bon, Khet Prawet, Krung Thep Maha Nakhon 10250, Thailand",4.0,http://earwthai.co.th/,
Earw Thai Suki Boran K Village,True,Earw Thai Suki & Chinese restaurant,,Thailand,"15 Borommaratchachonnani Rd, Khwaeng Arun Amarin, Khet Bangkok Noi, Krung Thep Maha Nakhon 10700, Thailand",4.0,,
Chowpati Indian Street Food Bangkok,True,Chowpati Indian Street Food - Indian Restaurant Bangkok,,Thailand,"12/499 G Floor, 15 Sukhumvit Residences, ซ. สุขุมวิท 13 แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110, Thailand",4.6,http://www.chowpatibangkok.com/,
You&I Premium Suki Buffet Samyan Mitrtown,True,You&I Premium Suki Buffet (Samyan Mitrtown),,Thailand,"141 Phaya Thai Rd, Khwaeng Wang Mai, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",4.8,,
You&I Premium Suki Buffet The Nine Center,True,You&I Premium Suki Buffet The Nine,,Thailand,"ชั้น 2 ติดบันไดเลื่อน, เลขที่ 999/4 2 Fl, The Nine, ถ. พระราม 9 แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250, Thailand",4.7,https://www.facebook.com/youandisuki,
VANIDA Bangkok,True,Vanida Bangkok,,Thailand,"136 Thanon Chan, Khwaeng Wat Phraya Krai, Khet Bang Kho Laem, Krung Thep Maha Nakhon 10120, Thailand",4.5,http://m.facebook.com/vanidabangkok.com,
Kuang Seafood Ratchada,True,KUANG Seafood,,Thailand,"166, 1-5 ถนน รัชดา 10 Khwaeng Huai Khwang, Khet Huai Khwang, Krung Thep Maha Nakhon 10320, Thailand",4.4,https://www.facebook.com/kuangseafood2,
You&I Premium Suki Buffet The Mall Bangkae,True,You&I Premium Suki Buffet The Mall Bangkae,,Thailand,"ชั้น 2 โซน น้ำตก เลขที่ 518 01 Phet Kasem Rd, Khwaeng Bang Khae Nuea, Khet Bang Khae, Krung Thep Maha Nakhon 10160, Thailand",4.7,https://www.facebook.com/youandisuki,
You&I Premium Suki Buffet The EmQuartier,True,You & I Premium Suki Buffet The Emquartier,,Thailand,"ชั้น 9 โซน Helix, เลขที่ 693 695 ถ. สุขุมวิท แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110, Thailand",4.6,https://www.facebook.com/youandisuki,
You&I Premium Suki Buffet The Crystal Ratchapruek,True,You&I Premium Suki Buffet The Crystal Ratchapruek,Bang Kanun,Thailand,"ชั้น 3, โซนข้างโรงหนัง, เลขที่ 555 9, Bang Kanun, Amphoe Bang Kruai, Chang Wat Nonthaburi 11130, Thailand",4.7,http://www.facebook.com/youandisuki,
Oaker Steak,True,Oaker Steak,,Thailand,"116 18 Soi Phet Kasem 10/1, Khwaeng Wat Tha Phra, Khet Bangkok Yai, Krung Thep Maha Nakhon 10600, Thailand",4.5,https://www.wongnai.com/restaurants/414888xO-oaker-steak-mrt-tha-phra,
The Seafood Cafe & Restaurant,True,The Seafood Cafe & Restaurant,,Thailand,"51/1 Phadung Dao Rd, Khwaeng Samphanthawong, Khet Samphanthawong, Krung Thep Maha Nakhon 10100, Thailand",4.6,https://www.wongnai.com/restaurants/442376wO-the-seafood-cafe-and-restaurant,
The House of Smooth Curry - The Athenee Hotel,True,The House of Smooth Curry,,Thailand,"61 Thanon Witthayu, Khwaeng Lumphini, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",4.6,https://www.thehouseofsmoothcurry.com/,
The Silk Road - The Athenee Hotel,True,The Silk Road,,Thailand,"61 Thanon Witthayu, Khwaeng Lumphini, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",4.7,https://www.thesilkroadbangkok.com/,
Praya Kitchen Bangkok Marriott Hotel The Surawongse,True,Praya Kitchen,,Thailand,"262 Surawong Rd, Khwaeng Si Phraya, Khet Bang Rak, Krung Thep Maha Nakhon 10500, Thailand",4.4,https://www.prayakitchenbangkok.com/,
Benares Modern Indian Cuisine Bangkok,True,BENARES Modern Indian Cuisine Bangkok. (INDIAN RESTAURANT),,Thailand,"Ground Floor, 15 Sukhumvit Residences, ซ. สุขุมวิท 13 แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110, Thailand",4.7,http://www.benaresbangkok.com/,
Thara Thong Royal Orchid Sheraton,True,Thara Thong,,Thailand,"2 ถ. เจริญกรุง Siphya, Bangrak, Krung Thep Maha Nakhon 10500, Thailand",4.1,https://www.marriott.com/en-us/dining/restaurant-bar/bkksi-royal-orchid-sheraton-riverside-hotel-bangkok/5957482-thara-thong.mi,
Paii at The House on Sathorn,True,The House on Sathorn,,Thailand,"106, 108 N Sathon Rd, Si Lom, Khet Bang Rak, Krung Thep Maha Nakhon 10500, Thailand",4.6,http://www.thehouseonsathorn.com/,
Zest Bar & Terrace @ The Westin Grande Sukhumvit,True,Zest Bar & Terrace,,Thailand,"259 Soi Sukhumvit 19, Khwaeng Khlong Toei Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",4.3,,
La Tavola Renaissance Bangkok,True,La Tavola,,Thailand,"518/8 Renaissance Bangkok Ratchaprasong Hotel Khwaeng Lumphini, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",4.6,https://marriottbonvoyasia.com/restaurants-bars/Renaissance-Bangkok-Ratchaprasong-La-Tavola-Wine-Bar,
The Bakery at The Athenee Hotel,True,The Bakery,,Thailand,"61 Thanon Witthayu, Khwaeng Lumphini, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",4.3,https://www.marriott.com/en-us/hotels/bkkla-the-athenee-hotel-a-luxury-collection-hotel-bangkok/dining/,
SEEN Rooftop Avani Riverside,True,SEEN Restaurant & Bar Bangkok,,Thailand,"AVANI Riverside Bangkok Charoen Nakhon Rd, Khwaeng Samre, Khet Thon Buri, Krung Thep Maha Nakhon 10600, Thailand",4.6,https://www.seenrooftopbangkok.com/?utm_source=GoogleMyBusiness&utm_medium=GMB&utm_term=SEENBangkok&utm_content=Home&utm_campaign=Google_GMB,
Benihana at Riverside Plaza,True,Benihana at Riverside Plaza Bangkok,,Thailand,"ริเวอร์ไซด์ พลาซ่า, ชั้น 3, เเขวง, สำเหร่, Khet Thon Buri, Krung Thep Maha Nakhon 10600, Thailand",4.4,https://www.benihanathailand.com/anantara-riverside-plaza?utm_source=GoogleMyBusiness&utm_medium=GMB&utm_term=BenihanaRiversideBangkok&utm_content=Home&utm_campaign=Google_GMB,
Flavors at Renaissance Bangkok,True,Flavors,,Thailand,"518, 8 Thanon Phloen Chit, Khwaeng Lumphini, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",4.2,https://www.marriott.com/en-us/dining/restaurant-bar/bkkbr-renaissance-bangkok-ratchaprasong-hotel/201780-flavors.mi,
Moom Muum Park Terminal 21 Asok,True,Moom Muum Park,,Thailand,"21 Soi Sukhumvit 19, Khwaeng Khlong Toei Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",4.6,http://facebook.com/MoommuumPark,
Panorama Crowne Plaza Bangkok Lumpini Park,True,Crowne Plaza Bangkok Lumpini Park by IHG,,Thailand,"952 Thanon Rama IV, Khwaeng Suriya Wong, Khet Bang Rak, Krung Thep Maha Nakhon 10500, Thailand",4.4,https://www.ihg.com/crowneplaza/hotels/us/en/bangkok/bkkcp/hoteldetail?cm_mmc=GoogleMaps-_-CP-_-TH-_-BKKCP,
Takieng at Renaissance Resort & Spa (Phuket),True,Takieng,Tambon Mai Khao,Thailand,"Renaissance Phuket Resort & Spa 555, Tambon Mai Khao, Amphoe Thalang, Chang Wat Phuket 83110, Thailand",4.6,http://www.takiengphuket.com/,
Skyview Hotel Sukhumvit Soi 24 Staycation ,True,SKYVIEW Hotel Bangkok Sukhumvit 24,,Thailand,"12 Soi Sukhumvit 24, Khwaeng Khlong Tan, Khet Khlong Toei, Krung Thep Maha Nakhon 10110, Thailand",4.4,https://skyviewhotel.com/bangkok/?partner=9282utm_source=google&utm_medium=organic&utm_campaign=MyBusiness&utm,
Rossini's at Sheraton Grande Sukhumvit A Luxury Collection Hotel,True,Rossini's,,Thailand,"250 Sukhumvit Rd, Khwaeng Khlong Toei, Khet Khlong Toei, Krung Thep Maha Nakhon 10110, Thailand",4.4,http://www.rossinisbangkok.com/,
